"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EBF2",107.09748172676,-2.62539501970111,0.235572367147541,-11.1447494945653,7.59577363253282e-29,5.99529944713679e-26
"HIST2H2BD",104.822241955062,2.43806460180092,0.218820806810867,11.1418316993421,7.84882326453853e-29,6.0180291750616e-26
"KANK3",141.284479277056,-2.96766613925176,0.266881169232267,-11.1198034233318,1.00493167349302e-28,7.49120733051629e-26
"ADCYAP1R1",77.086742440882,-3.37845865550378,0.304371405801293,-11.0997898984946,1.2573912037391e-28,9.11982441717363e-26
"ITGA7",671.043055143445,-3.50027658181436,0.316983934085819,-11.0424416048377,2.38463824293918e-28,1.68405662861884e-25
"RAPGEF3",626.154547622763,-2.8842447313083,0.262518219001458,-10.9868364271216,4.42153408774223e-28,3.04246894304232e-25
"TTC28",446.241913229604,-1.31900464323319,0.120125827759292,-10.9801919190618,4.75911667531664e-28,3.19289137746993e-25
"AQP1",1080.14889286071,-2.77590701894884,0.253133920361844,-10.9661597899673,5.55832863018037e-28,3.63812944193952e-25
"TNNT3",32.7845476281625,-3.72468382813876,0.340199675810381,-10.9485225677135,6.75402338882655e-28,4.31549932529879e-25
"CREB5",159.319119229742,-2.47555321145206,0.226253452825642,-10.9415046733444,7.29785337114802e-28,4.5545393736774e-25
"CSRNP1",674.244996819017,-2.39440671099667,0.219091471174866,-10.9287992734578,8.39519017543419e-28,5.120302807908e-25
"PEAR1",151.937377005222,-2.47493969168881,0.226739559402766,-10.9153413643734,9.73628381856377e-28,5.80628694566617e-25
"CLDN5",249.190273722873,-3.78104954328426,0.346880545453506,-10.9001487481547,1.150690205303e-27,6.71302659771986e-25
"RBMS3",404.733255039531,-2.20344637311599,0.202659619134264,-10.8726463738994,1.55620332651618e-27,8.88558988731661e-25
"ARHGEF15",238.60646270293,-2.88357655043006,0.2669184307164,-10.8032125870463,3.32366948152008e-27,1.85820821262652e-24
"PGM5",99.3035320627291,-2.84874375041701,0.263764361236721,-10.8003360918814,3.42945929089977e-27,1.87822386797115e-24
"NOTCH4",727.056788584171,-2.34034236929194,0.216886618567761,-10.7906259258718,3.81184442747103e-27,2.04589314111225e-24
"HYAL1",24.5054595639853,-2.65206792982345,0.249418347761407,-10.633010576914,2.09246644119312e-26,1.10104763560507e-23
"NPR1",293.625038787588,-3.77595081065625,0.35529900352937,-10.6275299765768,2.21911966165365e-26,1.14523644692572e-23
"USHBP1",61.7647179891388,-2.77148867743422,0.261764169834251,-10.5877312360554,3.39725891068584e-26,1.72016679485217e-23
"AKAP12",674.073031552255,-3.1370627181451,0.296350460734307,-10.5856515639354,3.47355593439433e-26,1.72622864917419e-23
"DMD",840.042647465276,-3.21700699947179,0.305307350598784,-10.5369457799245,5.83636216291615e-26,2.84772027280032e-23
"RYR3",77.9758328952416,-3.44898379828778,0.328112640997141,-10.5115846430246,7.63988938461086e-26,3.61564657218335e-23
"PPP1R15A",492.988878906907,-1.98531303838915,0.188877854673592,-10.5110948121476,7.67967858900176e-26,3.61564657218335e-23
"PRX",63.331338172641,-1.87977619303163,0.179512349231826,-10.4715703464169,1.16690941568272e-25,5.39916915159679e-23
"ARRDC4",158.829809752139,-1.66527035603607,0.159155502714384,-10.4631654428218,1.27522786388781e-25,5.80034151784632e-23
"ASPA",48.9867836586755,-3.57904759965514,0.342604620018038,-10.4465830013229,1.51899744217596e-25,6.79396922637235e-23
"FAM13C",74.7389237185683,-2.36368221136233,0.226713711288236,-10.4258458737735,1.88970317782475e-25,8.31345483280411e-23
"VEGFD",21.6780741936422,-3.77117974776688,0.362192832546011,-10.4120772386842,2.18403230532026e-25,9.4533372492862e-23
"SCN4A",151.505005812229,-4.18633663058311,0.402305343122356,-10.405868831103,2.33119709550318e-25,9.86054445047314e-23
"TSHZ2",547.005186888333,-2.47041582372339,0.237424946284452,-10.4050389918322,2.35159802068222e-25,9.86054445047314e-23
"AC098650.1",35.0615051008599,-2.08442086944928,0.200580189698918,-10.3919578128733,2.69758101669722e-25,1.11372744867826e-22
"LDB2",176.13252792051,-2.37511600763234,0.228745645194869,-10.3832184678706,2.95637121895797e-25,1.20207845502964e-22
"CYYR1",147.089869134149,-2.2791326260059,0.219867509696439,-10.365936418494,3.54271271533481e-25,1.41898863326455e-22
"CD34",575.0648817991,-2.38221540328184,0.231404159240273,-10.2946092719462,7.45215007503815e-25,2.94096910902535e-22
"DPYSL2",1102.23609207191,-1.7550418774108,0.170515997359537,-10.292535038283,7.61448030192875e-25,2.96148106351536e-22
"HOXA5",26.9677074227965,-2.60680703178274,0.253633017623034,-10.2778694044367,8.8665952976715e-25,3.35708739953782e-22
"JUN",2793.84079190506,-1.87139456830652,0.182082945324719,-10.2777037408372,8.88184548245584e-25,3.35708739953782e-22
"GPIHBP1",142.53101698022,-4.30558430248154,0.41907815513928,-10.2739411484013,9.23529561554333e-25,3.40937174371416e-22
"CAVIN1",2833.89459466808,-2.36612331103661,0.230312476779514,-10.2735350864286,9.27426357471805e-25,3.40937174371416e-22
"DLC1",877.52368563954,-2.21120322002329,0.215298636953643,-10.27040046008,9.58061343201264e-25,3.47439651434448e-22
"ADAMTSL4-AS1",135.046606187584,-1.72869144413705,0.16835589397636,-10.2680779585881,9.81403994633418e-25,3.51159434666432e-22
"AC004241.5",10.8511407658721,-3.95205663907501,0.385101426696188,-10.2623785971919,1.04110151442968e-24,3.63871372366376e-22
"EBF1",390.353777725719,-2.8362390521905,0.276379833208762,-10.2621056654599,1.04404887733682e-24,3.63871372366376e-22
"RTKN2",55.1782600282221,2.40011104648778,0.233985478085703,10.2575213903176,1.09480779714982e-24,3.76670026209134e-22
"AVPR2",11.8702891133336,-4.17929576780767,0.407556478811099,-10.2545192754616,1.12936549960016e-24,3.83641171484429e-22
"MAMDC2",89.7430316575921,-3.13794663290716,0.306187716026272,-10.2484406416811,1.2026808807741e-24,4.03439301455671e-22
"TK1",68.6624297749648,2.956439693519,0.288616443802167,10.2434901302626,1.26585815165376e-24,4.19389745157782e-22
"DENND2A",106.905003566091,-2.79402675007131,0.273537879537162,-10.2144052399577,1.70924125978145e-24,5.5938046887189e-22
"SHANK3",1252.58570212388,-2.40965019574761,0.236140121526634,-10.2043235184658,1.89638023888016e-24,6.06247152505169e-22
"ADCY4",332.982743390966,-2.32832674085455,0.228194723404292,-10.2032453078657,1.91755797642775e-24,6.06247152505169e-22
"PLAC9",83.3881661688675,-3.79435212227317,0.371881895136618,-10.2031106431768,1.92021940538603e-24,6.06247152505169e-22
"TNFRSF10D",50.1395495448871,-2.33126063592497,0.230071999815663,-10.1327438271185,3.95395674728174e-24,1.23381841011689e-21
"IL6",64.1340832444636,-4.23874769398328,0.418932419652986,-10.1179748692984,4.5983118333962e-24,1.41839421104621e-21
"MIR22HG",192.583297691782,-2.46041683683838,0.24363716673218,-10.098692534637,5.59835863119511e-24,1.70724491166763e-21
"LINC00639",61.1893501995018,-3.2150311981836,0.318416910438016,-10.0969235388943,5.70024034572831e-24,1.71878258334792e-21
"SH3BGRL2",192.730843391695,-2.21461367345564,0.219386199351191,-10.0945897235337,5.837466074783e-24,1.74060266203196e-21
"AL031777.3",154.850777527681,2.56370388590107,0.254270270238179,10.0825939402967,6.59613665929068e-24,1.94520794932664e-21
"SLC2A4",60.1924190237809,-3.89691585978675,0.386691077546031,-10.0775944573556,6.94044604224086e-24,2.0244979346693e-21
"CAV1",1069.34523485324,-3.19336727520052,0.317009768064465,-10.0734033992011,7.24275162247698e-24,2.08996217785798e-21
"SPTBN1",6257.45803838938,-2.25654999288286,0.224179352477446,-10.0658243854544,7.82291645962485e-24,2.22564136575508e-21
"LMNA",2892.76273015871,-1.60327668468719,0.159290309909839,-10.065123770521,7.8788168783251e-24,2.22564136575508e-21
"PAMR1",60.6400423788464,-3.32870384588909,0.331001821282427,-10.0564517530218,8.60437498743033e-24,2.40528132461125e-21
"AASS",195.779450474779,-1.65284604980442,0.164443402832121,-10.0511545087145,9.07973666217796e-24,2.5119980728475e-21
"MOCS1",172.277460566283,-2.22875150745873,0.222797525901337,-10.003484098139,1.47127652587709e-23,4.02889559677934e-21
"DAB2IP",702.849133150689,-1.24635148618903,0.124649457667503,-9.99885205689077,1.54173831034552e-23,4.17920093903358e-21
"ANXA1",1159.19137959776,-2.65219627179855,0.265411483318918,-9.99277137007549,1.63933171540804e-23,4.399310591469e-21
